Speaker Analysis Results (sorted by duration)
===========================================

Total speakers found: 2113

Speaker Name                                  | Duration (hours)
spk_sp_ar_194                                    |           0.01
spk_sp_en_361                                    |           0.01
spk_sp_ar_970                                    |           0.01
spk_sp_ar_1368                                   |           0.01
spk_sp_ar_170                                    |           0.01
spk_sp_en_120                                    |           0.01
spk_sp_ar_8                                      |           0.01
spk_sp_ar_803                                    |           0.01
spk_sp_en_220                                    |           0.01
spk_sp_ar_232                                    |           0.01
spk_sp_ar_937                                    |           0.01
spk_sp_ar_1027                                   |           0.01
spk_sp_ar_278                                    |           0.01
spk_sp_ar_752                                    |           0.01
spk_sp_ar_982                                    |           0.01
spk_sp_ar_951                                    |           0.01
spk_sp_en_299                                    |           0.01
spk_sp_ar_886                                    |           0.01
spk_sp_ar_289                                    |           0.01
spk_sp_ar_26                                     |           0.01
spk_sp_ar_553                                    |           0.01
spk_sp_ar_1277                                   |           0.01
spk_sp_ar_23                                     |           0.01
spk_sp_en_249                                    |           0.01
spk_sp_ar_333                                    |           0.01
spk_sp_ar_160                                    |           0.01
spk_sp_ar_630                                    |           0.01
spk_sp_ar_995                                    |           0.01
spk_sp_en_42                                     |           0.01
spk_sp_en_237                                    |           0.01
spk_sp_ar_1015                                   |           0.01
spk_sp_ar_1098                                   |           0.01
spk_sp_en_424                                    |           0.01
spk_sp_ar_575                                    |           0.01
spk_sp_en_102                                    |           0.01
spk_sp_en_218                                    |           0.01
spk_sp_ar_1064                                   |           0.01
spk_sp_ar_75                                     |           0.01
spk_sp_en_377                                    |           0.01
spk_sp_ar_266                                    |           0.01
spk_sp_ar_427                                    |           0.01
spk_sp_ar_507                                    |           0.01
spk_sp_en_264                                    |           0.01
spk_sp_ar_347                                    |           0.01
spk_sp_ar_1010                                   |           0.01
spk_sp_ar_137                                    |           0.01
spk_sp_ar_419                                    |           0.01
spk_sp_ar_188                                    |           0.01
spk_sp_en_456                                    |           0.01
spk_sp_en_212                                    |           0.01
spk_sp_ar_47                                     |           0.01
spk_sp_ar_1229                                   |           0.01
spk_sp_ar_831                                    |           0.01
spk_sp_ar_1673                                   |           0.01
spk_sp_ar_1536                                   |           0.01
spk_sp_ar_1499                                   |           0.01
spk_sp_ar_348                                    |           0.01
spk_sp_en_81                                     |           0.01
spk_sp_ar_125                                    |           0.01
spk_sp_ar_1074                                   |           0.01
spk_sp_en_88                                     |           0.01
spk_sp_en_353                                    |           0.01
spk_sp_ar_526                                    |           0.01
spk_sp_en_134                                    |           0.01
spk_sp_ar_1108                                   |           0.01
spk_sp_en_7                                      |           0.01
spk_sp_ar_292                                    |           0.01
spk_sp_ar_37                                     |           0.01
spk_sp_ar_1198                                   |           0.01
spk_sp_en_164                                    |           0.01
spk_sp_en_27                                     |           0.01
spk_sp_ar_1637                                   |           0.01
spk_sp_en_318                                    |           0.01
spk_sp_ar_1073                                   |           0.01
spk_sp_en_342                                    |           0.01
spk_sp_ar_1210                                   |           0.01
spk_sp_en_363                                    |           0.01
spk_sp_en_441                                    |           0.01
spk_sp_en_485                                    |           0.01
spk_sp_en_384                                    |           0.01
spk_sp_ar_659                                    |           0.01
spk_sp_ar_1182                                   |           0.01
spk_sp_en_493                                    |           0.01
spk_sp_ar_445                                    |           0.01
spk_sp_ar_609                                    |           0.01
spk_sp_ar_1042                                   |           0.01
spk_sp_ar_128                                    |           0.01
spk_sp_en_301                                    |           0.01
spk_sp_en_5                                      |           0.01
spk_sp_en_20                                     |           0.00
