Speaker Analysis Results (sorted by duration)
===========================================

Total speakers found: 513

Speaker Name                                  | Duration (hours)
spk_en_el_v2_227                                 |           0.05
spk_en_el_v2_404                                 |           0.05
spk_en_el_v2_295                                 |           0.05
spk_en_el_v2_133                                 |           0.05
spk_en_el_v2_135                                 |           0.05
spk_en_el_v2_40                                  |           0.05
spk_en_el_v2_324                                 |           0.05
spk_en_el_v2_204                                 |           0.05
spk_en_el_v2_327                                 |           0.05
spk_en_el_v2_177                                 |           0.05
spk_en_el_v2_111                                 |           0.05
spk_en_el_v2_451                                 |           0.05
spk_en_el_v2_434                                 |           0.05
spk_en_el_v2_82                                  |           0.05
spk_en_el_v2_387                                 |           0.05
spk_en_el_v2_169                                 |           0.05
spk_en_el_v2_106                                 |           0.05
spk_en_el_v2_154                                 |           0.05
spk_en_el_v2_267                                 |           0.05
spk_en_el_v2_3                                   |           0.05
spk_en_el_v2_117                                 |           0.05
spk_en_el_v2_74                                  |           0.05
spk_en_el_v2_450                                 |           0.05
spk_en_el_v2_438                                 |           0.05
spk_en_el_v2_336                                 |           0.05
spk_en_el_v2_405                                 |           0.05
spk_en_el_v2_104                                 |           0.05
spk_en_el_v2_374                                 |           0.05
spk_en_el_v2_332                                 |           0.05
spk_en_el_v2_298                                 |           0.05
spk_en_el_v2_213                                 |           0.05
spk_en_el_v2_176                                 |           0.05
spk_en_el_v2_360                                 |           0.05
spk_en_el_v2_329                                 |           0.05
spk_en_el_v2_339                                 |           0.05
spk_en_el_v2_276                                 |           0.05
spk_en_el_v2_166                                 |           0.05
spk_en_el_v2_371                                 |           0.05
spk_en_el_v2_231                                 |           0.05
spk_en_el_v2_118                                 |           0.05
spk_en_el_v2_93                                  |           0.05
spk_en_el_v2_145                                 |           0.05
spk_en_el_v2_296                                 |           0.05
spk_en_el_v2_306                                 |           0.05
spk_en_el_v2_373                                 |           0.05
spk_en_el_v2_383                                 |           0.05
spk_en_el_v2_200                                 |           0.05
spk_en_el_v2_422                                 |           0.05
spk_en_el_v2_446                                 |           0.05
spk_en_el_v2_75                                  |           0.05
spk_en_el_v2_427                                 |           0.05
spk_en_el_v2_88                                  |           0.05
spk_en_el_v2_137                                 |           0.05
spk_en_el_v2_414                                 |           0.05
spk_en_el_v2_248                                 |           0.05
spk_en_el_v2_363                                 |           0.05
spk_en_el_v2_114                                 |           0.05
spk_en_el_v2_99                                  |           0.05
spk_en_el_v2_308                                 |           0.05
spk_en_el_v2_128                                 |           0.05
spk_en_el_v2_314                                 |           0.05
spk_en_el_v2_364                                 |           0.05
spk_en_el_v2_425                                 |           0.05
spk_en_el_v2_43                                  |           0.05
spk_en_el_v2_131                                 |           0.05
spk_en_el_v2_398                                 |           0.05
spk_en_el_v2_261                                 |           0.05
spk_en_el_v2_116                                 |           0.05
spk_en_el_v2_101                                 |           0.05
spk_en_el_v2_325                                 |           0.05
spk_en_el_v2_424                                 |           0.05
spk_en_el_v2_219                                 |           0.05
spk_en_el_v2_441                                 |           0.05
spk_en_el_v2_10                                  |           0.05
spk_en_el_v2_411                                 |           0.05
spk_en_el_v2_216                                 |           0.05
spk_en_el_v2_391                                 |           0.05
