Speaker Analysis Results (sorted by duration)
===========================================

Total speakers found: 932

Speaker Name                                  | Duration (hours)
ar_vo_48                                         |           0.06
ar_vo_489                                        |           0.06
ar_vo_317                                        |           0.06
mono_ml_9                                        |           0.06
ar_vo_586                                        |           0.06
dayan_en_vo                                      |           0.06
ar_vo_143                                        |           0.06
amy_en_vo                                        |           0.06
ar_vo_292                                        |           0.06
mono_ml_41                                       |           0.06
dharisov_en_vo                                   |           0.06
ar_vo_27                                         |           0.06
ar_vo_151                                        |           0.06
ken_en_vo                                        |           0.06
rossyg_en_vo                                     |           0.06
ar_vo_539                                        |           0.06
thena_en_vo                                      |           0.06
jonathan_en_vo                                   |           0.06
ar_vo_244                                        |           0.06
ar_vo_405                                        |           0.06
richmiles_en_vo                                  |           0.06
ar_vo_346                                        |           0.06
mary_en_vo                                       |           0.06
ar_vo_502                                        |           0.06
holdm_en_vo                                      |           0.06
ar_vo_583                                        |           0.06
mono_ml_25                                       |           0.06
jovoguy_en_vo                                    |           0.06
duglas_en_vo                                     |           0.06
ar_vo_560                                        |           0.06
mono_ml_65                                       |           0.06
ar_vo_578                                        |           0.06
mono_ml_14                                       |           0.06
ar_vo_406                                        |           0.06
mono_ml_55                                       |           0.06
ar_vo_671                                        |           0.06
etherium_en_vo                                   |           0.06
amanda_en_vo                                     |           0.06
sam_en_vo                                        |           0.06
ar_vo_77                                         |           0.06
tavi_en_vo                                       |           0.06
ar_vo_58                                         |           0.06
ar_vo_297                                        |           0.06
ar_vo_674                                        |           0.06
jimang_en_vo                                     |           0.06
dune_en_vo                                       |           0.06
mikeb_en_vo                                      |           0.06
ane_en_vo                                        |           0.06
mono_ml_70                                       |           0.06
ar_vo_568                                        |           0.06
ar_vo_455                                        |           0.06
joe_en_vo                                        |           0.06
ar_vo_28                                         |           0.06
ramen_en_vo                                      |           0.06
issac_en_vo                                      |           0.06
ar_vo_657                                        |           0.06
ar_vo_400                                        |           0.06
christie_en_vo                                   |           0.06
ar_vo_186                                        |           0.06
ricky_en_vo                                      |           0.06
mono_ml_18                                       |           0.06
ar_vo_323                                        |           0.06
ar_vo_416                                        |           0.06
mono_ml_58                                       |           0.06
ar_vo_579                                        |           0.06
ar_vo_321                                        |           0.06
bella_en_vo                                      |           0.06
clark_en_vo                                      |           0.06
vu_en_vo                                         |           0.06
mono_ml_28                                       |           0.06
