Speaker Analysis Results (sorted by duration)
===========================================

Total speakers found: 509

Speaker Name                                  | Duration (hours)
spk_en_el_v2_390                                 |           0.03
spk_en_el_v2_321                                 |           0.03
spk_en_el_v2_45                                  |           0.03
spk_en_el_v2_143                                 |           0.03
spk_en_el_v2_277                                 |           0.03
spk_en_el_v2_150                                 |           0.03
spk_en_el_v2_178                                 |           0.03
spk_en_el_v2_433                                 |           0.03
spk_en_el_v2_60                                  |           0.03
spk_en_el_v2_0                                   |           0.03
spk_en_el_v2_226                                 |           0.03
spk_en_el_v2_212                                 |           0.03
spk_en_el_v2_317                                 |           0.03
spk_en_el_v2_19                                  |           0.03
spk_en_el_v2_55                                  |           0.03
spk_en_el_v2_163                                 |           0.03
spk_en_el_v2_156                                 |           0.03
spk_en_el_v2_348                                 |           0.03
spk_en_el_v2_83                                  |           0.03
spk_en_el_v2_157                                 |           0.03
spk_en_el_v2_257                                 |           0.03
spk_en_el_v2_34                                  |           0.03
spk_en_el_v2_235                                 |           0.03
spk_en_el_v2_198                                 |           0.03
spk_en_el_v2_246                                 |           0.03
spk_en_el_v2_328                                 |           0.03
spk_en_el_v2_237                                 |           0.03
spk_en_el_v2_225                                 |           0.03
spk_en_el_v2_442                                 |           0.03
spk_en_el_v2_355                                 |           0.03
spk_en_el_v2_245                                 |           0.03
spk_en_el_v2_100                                 |           0.03
spk_en_el_v2_240                                 |           0.03
spk_en_el_v2_463                                 |           0.03
spk_en_el_v2_254                                 |           0.03
spk_en_el_v2_223                                 |           0.03
spk_en_el_v2_41                                  |           0.03
spk_en_el_v2_14                                  |           0.03
spk_en_el_v2_59                                  |           0.03
spk_en_el_v2_121                                 |           0.03
spk_en_el_v2_95                                  |           0.03
spk_en_el_v2_112                                 |           0.03
spk_en_el_v2_358                                 |           0.03
spk_en_el_v2_279                                 |           0.03
spk_en_el_v2_2                                   |           0.03
spk_en_el_v2_151                                 |           0.03
spk_en_el_v2_312                                 |           0.03
spk_en_el_v2_330                                 |           0.03
spk_en_el_v2_268                                 |           0.03
spk_en_el_v2_315                                 |           0.03
spk_en_el_v2_302                                 |           0.03
spk_en_el_v2_92                                  |           0.03
spk_en_el_v2_44                                  |           0.03
spk_en_el_v2_152                                 |           0.03
spk_en_el_v2_48                                  |           0.03
spk_en_el_v2_167                                 |           0.03
spk_en_el_v2_54                                  |           0.03
spk_en_el_v2_126                                 |           0.03
spk_en_el_v2_429                                 |           0.03
spk_en_el_v2_113                                 |           0.03
spk_en_el_v2_415                                 |           0.03
spk_en_el_v2_1                                   |           0.03
spk_en_el_v2_316                                 |           0.03
spk_en_el_v2_228                                 |           0.03
spk_en_el_v2_448                                 |           0.03
spk_en_el_v2_107                                 |           0.03
spk_en_el_v2_224                                 |           0.03
spk_en_el_v2_303                                 |           0.03
